CCBBB	CCCCCC
CCCCBBB	CCCCCCFFFBB
CCCFFBBBBBB	CCCCCCCFFFFFBB
CCCFFFBBBBBBBB	CCCCCFFFFFFFFFFBBB
CCCFFFFBBBBBBBBBB	CCCCCCCFFFFFFFFFFFBBB
CCCCCCFFFBBBBBBBBBB	CCCCCCCCFFFFFFFFFFFFFBBB
CCCCCCFFFFBBBBBBBBBBBB	CCCCCCCCFFFFFFFFFFFFFFFFBBB
CCCCFFFFFFFBBBBBBBBBBBBBB	CCCCCCCCCCFFFFFFFFFFFFFBBFFFFB
CCCCCFFFFFFFBBBBBBBBBBBBBBBB	CCCCCCCCCCCCFFFFFFFFFFBFFFFFFFFFBB
CCCCCFFFFFFFFBBBBBBBBBBBBBBBBB	CCCCCCCCCCCCFFFFFFFFFFBFFFFFFFFFFFFBB
CCCCCCFFFFFFFFBBBBBBBBBBBBBBBBBBB	CCCCCCCCCCCCFFFFFFFFFFBFFFFFFFFFFFFFBBB
CCCCCCCFFFFFFFFFBBBBBBBBBBBBBBBBBBBB	CCCCCCCCCCCCCAFFFFFFFBBFFFFFFFFFFFFFFFFFFFBB
CCCCCCCCFFFFFFFFFFBBBBBBBBBBBBBBBBBBBBBB	CFFFFFFFFFFFFFFFFFFFFFBBBCCCCCCCCCCCCCCFFFFFFFB
CCCCCCCFFFFFFFFFFFBBBBBBBBBBBBBBBBBBBBBBB	CCCFFFFFFFFFFFFFFFFFFFFFFBBBCCCCCCCCCCCCCCFFFFFFFB
